CD_OSCAR,STATION_NAME,CD_STATION,TP_STATION,START_DATE_OPERATION,END_DATE_OPERATION,LONGITUDE,LATITUDE,HEIGHT,CD_SITUATION,CD_WSI,IS_CAPITAL,CD_DISTRICT,INSTITUTE,STATE
0-2000-0-86689,ITAPACI,A015,Automatic,2007-02-03 00:00:00+00:00,,-49.53944444,-14.97972221,551.0,Operative,0-76-0-5210901000000173,False, 10,INMET,GO
0-2000-0-86723,ITAPETINGA,A446,Automatic,2009-06-25 00:00:00+00:00,,-40.22944443,-15.24472221,271.48,Operative,0-76-0-2916401000000450,False, 04,INMET,BA
0-2000-0-86905,ITAPEVA,A714,Automatic,2006-07-25 00:00:00+00:00,,-48.88583333,-23.98194443,743.33,Operative,0-76-0-3522406000000090,False, 07,INMET,SP
0-2000-0-81756,ITAPIPOCA,A359,Automatic,2008-09-05 00:00:00+00:00,,-39.5886111,-3.48416666,104.49,Down,0-76-0-2306405000000421,False, 03,INMET,CE
0-2000-0-86869,ITAPIRA,A739,Automatic,2007-11-05 00:00:00+00:00,,-46.80527777,-22.415,634.89,Operative,0-76-0-3522604000000263,False, 07,INMET,SP
0-2000-0-86947,ITAPOA,A851,Automatic,2007-06-06 00:00:00+00:00,,-48.64166666,-26.08138888,6.18,Operative,0-76-0-4208450000000210,False, 08,INMET,SC
0-2000-0-81907,ITAPORANGA,A373,Automatic,2017-11-03 00:00:00+00:00,,-38.14083333,-7.31833332,292.0,Operative,0-76-0-2507002000000567,False, 03,INMET,PB
0-2000-0-86896,ITAQUIRAI,A752,Automatic,2008-05-28 00:00:00+00:00,,-54.18194443,-23.44944444,337.82,Operative,0-76-0-5004601000000367,False, 07,INMET,MS
0-2000-0-81636,ITAUBAL,A251,Automatic,2017-08-24 00:00:00+00:00,,-50.8236111,0.56777777,21.0,Operative,0-76-0-1600253000000554,False, 02,INMET,AP
0-2000-0-86748,ITIQUIRA,A933,Automatic,2008-08-14 00:00:00+00:00,,-54.50166666,-17.17499999,593.12,Operative,0-76-0-5104609000000414,False, 09,INMET,MT
0-2000-0-86674,ITIRUCU,A407,Automatic,2003-02-09 00:00:00+00:00,,-40.11972221,-13.52777777,757.42,Operative,0-76-0-2916906000000053,False, 04,INMET,BA
0-2000-0-86775,ITUIUTABA,A512,Automatic,2006-05-12 00:00:00+00:00,,-49.52499999,-18.95277777,540.08,Operative,0-76-0-3134202000000076,False, 05,INMET,MG
0-2000-0-86774,ITUMBIARA,A035,Automatic,2007-11-01 00:00:00+00:00,,-49.19194444,-18.40972222,491.17,Operative,0-76-0-5211503000000261,False, 10,INMET,GO
0-2000-0-86957,ITUPORANGA,A863,Automatic,2008-03-04 00:00:00+00:00,,-49.64694444,-27.41833332,479.79,Operative,0-76-0-4208500000000303,False, 08,INMET,SC
0-2000-0-86817,ITUVERAVA,A753,Automatic,2008-07-17 00:00:00+00:00,,-47.77527777,-20.35972222,610.58,Operative,0-76-0-3524105000000403,False, 07,INMET,SP
0-2000-0-86930,IVAI,A818,Automatic,2006-07-11 00:00:00+00:00,,-50.85388888,-25.01083333,803.58,Down,0-76-0-4111407000000082,False, 08,INMET,PR
0-2000-0-86860,IVINHEMA,A709,Automatic,2003-02-08 00:00:00+00:00,,-53.82277777,-22.30055555,377.36,Operative,0-76-0-5004700000000052,False, 07,INMET,MS
0-2000-0-86636,JACOBINA,A440,Automatic,2008-05-01 00:00:00+00:00,,-40.465,-11.205,440.78,Operative,0-76-0-2917508000000357,False, 04,INMET,BA
0-2000-0-86996,JAGUARAO,A836,Automatic,2007-01-09 00:00:00+00:00,,-53.37583332,-32.53472221,31.48,Operative,0-76-0-4311007000000169,False, 08,INMET,RS
0-2000-0-81833,JAGUARIBE,A358,Automatic,2008-09-10 00:00:00+00:00,,-38.62777777,-5.90555555,149.31,Operative,0-76-0-2306900000000426,False, 03,INMET,CE
0-2000-0-81798,JAGUARUANA,A339,Automatic,2007-11-10 00:00:00+00:00,,-37.69972221,-4.83777777,12.0,Operative,0-76-0-2307007000000269,False, 03,INMET,CE
0-2000-0-86814,JALES,A733,Automatic,2007-08-22 00:00:00+00:00,,-50.59499999,-20.165,460.44,Operative,0-76-0-3524808000000242,False, 07,INMET,SP
0-2000-0-86710,JANUARIA,A559,Automatic,2016-06-23 00:00:00+00:00,,-44.36638888,-15.44805555,468.0,Operative,0-76-0-3135209000000521,False, 05,INMET,MG
0-2000-0-86902,JAPIRA,A871,Automatic,2008-02-29 00:00:00+00:00,,-50.18055554,-23.77333332,692.88,Operative,0-76-0-4109708000000297,False, 08,INMET,PR
0-2000-0-86835,JARDIM,A758,Automatic,2011-08-04 00:00:00+00:00,,-56.13777777,-21.4786111,252.47,Operative,0-76-0-5005004000000474,False, 07,INMET,MS
0-2000-0-86752,JATAI,A016,Automatic,2007-05-23 00:00:00+00:00,,-51.71749999,-17.9236111,670.08,Operative,0-76-0-5211909000000190,False, 10,INMET,GO
0-2000-0-86605,JEREMOABO,A450,Automatic,2015-08-13 00:00:00+00:00,,-38.34583333,-10.08083332,261.0,Operative,0-76-0-2918100000000499,False, 04,INMET,BA
0-2000-0-86955,JOACABA,A841,Automatic,2007-09-20 00:00:00+00:00,,-51.55888888,-27.16916666,767.63,Operative,0-76-0-4209003000000254,False, 08,INMET,SC
